Campaign Name,Date,Datasource
KTBO_2020_BRA_KELLOGGS_TRINK_SEASONAL_GREENCITY_FACEBOOK_INSTAGRAM_AWARENESS_CPM_LUNCH,2021-01-04,Facebook Ads Insights
KTBO_2021_BRA_KELLOGGS_PRINGLES_SEASONAL_WELCOMERUFFLES_FACEBOOK_FACEBOOK_AWARENESS_CPM_EVENINGLEISURETIME,2021-02-28,Facebook Ads Insights
KTBO_2021_BRA_KELLOGGS_SUCRILHOS_SEASONAL_LANÇAMENTO2021_FACEBOOK_FACEBOOKANDINSTAGRAM_AWARENESS_CPM_MORNINGBREAKFAST,2021-03-29,Facebook Ads Insights
MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME,2021-04-01,Facebook Ads Insights
MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_EVENINGME,2021-04-02,Facebook Ads Insights
MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE,2021-03-12,Facebook Ads Insights
MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_FACEBOOK_FACEBOOKANDINSTAGRAM_VIDEOVIEWS_CPCV_BREAKFASTFORONE,2021-04-01,Facebook Ads Insights
MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_BREAKFASTFORONE,2021-03-12,Facebook Ads Insights
MCMMIA_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE,2021-01-22,Facebook Ads Insights
MCMMIA_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_BREAKFASTFORONE,2021-02-19,Facebook Ads Insights
MCMMIA_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_FACEBOOKANDINSTAGRAM_VIDEOVIEWS_CPV_BREAKFASTFORONE,2021-05-25,Facebook Ads Insights
MCMMIA_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_BREAKFASTFORONE,2021-05-24,Facebook Ads Insights
MCMMIA_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_INSTAGRAM_REACH_CPM_BREAKFASTFORONE,2021-05-24,Facebook Ads Insights
MCMMIA_2021_COL_KELLOGGS_HEALTHYKIDS_SEASONAL_HEALTHYKIDSGRANOLA_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST,2021-02-16,Facebook Ads Insights
MCMMIA_2021_COL_KELLOGGS_HEALTHYKIDS_SEASONAL_HEALTHYKIDSGRANOLA_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_FAMILYBREAKFAST,2021-02-16,Facebook Ads Insights
MCMMIA_2021_COL_KELLOGGS_MASTERBRAND_SEASONAL_DIADELAMUJER_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE,2021-03-08,Facebook Ads Insights
MCMMIA_2021_COL_KELLOGGS_MASTERBRAND_SEASONAL_HERSHEYS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST,2021-06-02,Facebook Ads Insights
MCMMIA_2021_COL_KELLOGGS_MASTERBRAND_SEASONAL_HERSHEYS_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_FAMILYBREAKFAST,2021-06-02,Facebook Ads Insights
MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME,2021-06-01,Facebook Ads Insights
MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_VIDEOVIEWS_CPCV_EVENINGME,2021-05-01,Facebook Ads Insights
