video_p25_watched_actions.video_view.1d_click,impressions,objective,video_p75_watched_actions.video_view.1d_click,video_thruplay_watched_actions.video_view.7d_click,video_p50_watched_actions.video_view.1d_click,actions.comment.1d_click,country,actions.post_reaction.7d_click,video_thruplay_watched_actions.video_view,actions.post.1d_click,clicks,video_p75_watched_actions.video_view,actions.post_reaction,campaign_name,ad_id,actions.page_engagement,actions.comment.7d_click,adset_id,actions.post.7d_click,adset_name,actions.page_engagement.7d_click,video_30_sec_watched_actions.video_view.1d_click,video_p50_watched_actions.video_view,actions.video_view,actions.link_click,actions.link_click.7d_click,actions.onsite_conversion.post_save.7d_click,campaign_id,video_p25_watched_actions.video_view,actions.link_click.1d_click,ad_name,video_avg_time_watched_actions.video_view.7d_click,video_avg_time_watched_actions.video_view.1d_click,actions.video_view.7d_click,video_p75_watched_actions.video_view.7d_click,actions.post_engagement,video_30_sec_watched_actions.video_view,actions.post_engagement.7d_click,buying_type,actions.comment,actions.landing_page_view.7d_click,video_p50_watched_actions.video_view.7d_click,reach,video_p25_watched_actions.video_view.7d_click,actions.landing_page_view.1d_click,account_currency,actions.landing_page_view,actions.post_reaction.1d_click,actions.video_view.1d_click,video_p100_watched_actions.video_view.7d_click,frequency,video_avg_time_watched_actions.video_view,actions.post,actions.onsite_conversion.post_save,video_30_sec_watched_actions.video_view.7d_click,date_stop,actions.post_engagement.1d_click,account_id,date_start,video_p100_watched_actions.video_view.1d_click,actions.onsite_conversion.post_save.1d_click,video_p100_watched_actions.video_view,video_thruplay_watched_actions.video_view.1d_click,actions.page_engagement.1d_click,spend,account_name,campaign_buying_type,ad_creative_call_to_action_type,ad_creative_object_type,ad_creative_link_url,campaign_stop_time,campaign_start_time,ad_preview_default_url,link,actions.interactive_component_tap.7d_click,actions.interactive_component_tap,actions.interactive_component_tap.1d_click,actions.offsite_conversion.fb_pixel_complete_registration.1d_click,actions.offsite_conversion.fb_pixel_complete_registration,actions.offsite_conversion.fb_pixel_complete_registration.7d_click,actions.photo_view,actions.photo_view.1d_click,actions.photo_view.7d_click,actions.like,actions.like.7d_click,actions.like.1d_click,Campaign Label,Campaign_duplicate,Agency,Year,Market,Client,Brand_portfolio,Temporality,Initiative,Vendor,Platform,Objective,Buying Type,Consumption Occasion,video_quartile_25_view,video_views,url,Month,New Buying Type,Country Code,BRL to USD,MXN to USD,Cost in BRL,platform_cost,campaign_label,unified_brand,Datasource,Brand,interactions,Temp Campaign Name,date_copy,date_month,mplan_agency,Campaign Name,date_month,reach_key,campaign_monthly_reach,Country_code,Country_code2,cost_eval,Eval_scale,firstEval_scale,secondEval_scale,Agency_nc,Year_nc,Countrry_nc,Client_nc,Brand_nc,Temporality_nc,Initiative_nc,Vendor_nc,Platform_nc,Objective_nc,BuyType_nc,ConssumptionOcasion_nc,datasource_mediaplan,adverity_client_id,adverity_client_name
13,3060,BRAND_AWARENESS,3,1,3,,BR,,11,,11,18,0,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,23847609871510159,175,,23847609871540159,,Julho,20,1,38,169,6,6,,23847508352700159,130,6,GIF_POST_MOMENTOS_DE_SABOR_IG,2,2,14,3,175,11,20,AUCTION,0,,3,3041,13,,BRL,,,14,1,1.006248,1,0,,1,2021-07-24,20,416469385903466,2021-07-24,1,,11,1,20,4.27,PARATI BR,AUCTION,LEARN_MORE,VIDEO,,2021-08-01 02:59:50,2021-06-15 03:00:50,https://ktbo.datatap.adverity.com/i/8/cc97fa2d2b.png,https://promoparati.com.br/,,,,,,,,,,,,,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO,2021,BRA,Kelloggs,Parati,Seasonal,PromoMomentosDeSabor,Facebook,Instagram,Awareness,CPM_EveningWe,,130,130,https://ktbo.datatap.adverity.com/i/8/cc97fa2d2b.png,7,CPM,BR,5.7,20.96,4.27,0.7491228070175437,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,parati,Facebook Ads Insights,Parati,6,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,2021-07-24,7,KTBO,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,7,23847508352700159-7,5007533,BR,,,,,,KTBO,2021,BRA,KELLOGGS,PARATI,SEASONAL,PROMOMOMENTOSDESABOR,FACEBOOK,INSTAGRAM,AWARENESS,CPM,EVENINGWE,Facebook Ads Insights,3,ktboClient
6,160878,BRAND_AWARENESS,2,2,4,,BR,1,815,1,96,988,1,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,23847609871520159,3122,,23847609871540159,1,Julho,72,2,1457,3058,62,62,,23847508352700159,2528,62,Storie_Momentos_De_Sabor,2,2,8,2,3122,815,72,AUCTION,0,,4,160510,6,,BRL,,1,8,2,1.002293,0,1,,2,2021-07-24,72,416469385903466,2021-07-24,2,,815,2,72,132.66,PARATI BR,AUCTION,LEARN_MORE,VIDEO,,2021-08-01 02:59:50,2021-06-15 03:00:50,https://ktbo.datatap.adverity.com/i/8/363bccc4c6.png,https://promoparati.com.br/,,,,,,,,,,,,,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO,2021,BRA,Kelloggs,Parati,Seasonal,PromoMomentosDeSabor,Facebook,Instagram,Awareness,CPM_EveningWe,,2528,2528,https://ktbo.datatap.adverity.com/i/8/363bccc4c6.png,7,CPM,BR,5.7,20.96,132.66,23.273684210526316,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,parati,Facebook Ads Insights,Parati,64,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,2021-07-24,7,KTBO,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,7,23847508352700159-7,5007533,BR,,,,,,KTBO,2021,BRA,KELLOGGS,PARATI,SEASONAL,PROMOMOMENTOSDESABOR,FACEBOOK,INSTAGRAM,AWARENESS,CPM,EVENINGWE,Facebook Ads Insights,3,ktboClient
43,5718,BRAND_AWARENESS,5,1,14,,BR,2,33,,7,50,2,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,23847609871530159,262,,23847609871540159,,Julho,74,1,78,255,5,5,,23847508352700159,195,5,GIF_POST_MOMENTOS_DE_CAMPANHA_FB,2,2,67,5,262,33,74,AUCTION,0,,14,5718,43,,BRL,,2,67,1,1,1,0,,1,2021-07-24,74,416469385903466,2021-07-24,1,,32,1,74,9.16,PARATI BR,AUCTION,LEARN_MORE,VIDEO,,2021-08-01 02:59:50,2021-06-15 03:00:50,https://ktbo.datatap.adverity.com/i/8/368efb5b01.png,https://promoparati.com.br/,,,,,,,,,,,,,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO,2021,BRA,Kelloggs,Parati,Seasonal,PromoMomentosDeSabor,Facebook,Instagram,Awareness,CPM_EveningWe,,195,195,https://ktbo.datatap.adverity.com/i/8/368efb5b01.png,7,CPM,BR,5.7,20.96,9.16,1.607017543859649,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,parati,Facebook Ads Insights,Parati,7,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,2021-07-24,7,KTBO,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,7,23847508352700159-7,5007533,BR,,,,,,KTBO,2021,BRA,KELLOGGS,PARATI,SEASONAL,PROMOMOMENTOSDESABOR,FACEBOOK,INSTAGRAM,AWARENESS,CPM,EVENINGWE,Facebook Ads Insights,3,ktboClient
1514,53339,BRAND_AWARENESS,222,145,538,,BR,6,311,,57,467,6,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,23847650796880159,3602,,23847609871540159,,Julho,2134,145,947,3559,36,36,1,23847508352700159,2606,36,GIF_POST_MUFFATO,2,2,2091,222,3602,311,2134,AUCTION,0,,538,51327,1514,,BRL,,6,2091,135,1.0392,1,0,1,145,2021-07-24,2134,416469385903466,2021-07-24,135,1,294,145,2134,99.24,PARATI BR,AUCTION,LEARN_MORE,VIDEO,,2021-08-01 02:59:50,2021-06-15 03:00:50,https://ktbo.datatap.adverity.com/i/8/02b5e75b9e.png,https://delivery.supermuffato.com.br/mercearia-e-alimentos/parati?utm_source=Facebook&utm_medium=Page+Post&utm_id=Promo+Parati,,,,,,,,,,,,,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO,2021,BRA,Kelloggs,Parati,Seasonal,PromoMomentosDeSabor,Facebook,Instagram,Awareness,CPM_EveningWe,,2606,2606,https://ktbo.datatap.adverity.com/i/8/02b5e75b9e.png,7,CPM,BR,5.7,20.96,99.24,17.410526315789472,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,parati,Facebook Ads Insights,Parati,42,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,2021-07-24,7,KTBO,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,7,23847508352700159-7,5007533,BR,,,,,,KTBO,2021,BRA,KELLOGGS,PARATI,SEASONAL,PROMOMOMENTOSDESABOR,FACEBOOK,INSTAGRAM,AWARENESS,CPM,EVENINGWE,Facebook Ads Insights,3,ktboClient
517,18246,BRAND_AWARENESS,78,49,171,,BR,1,98,,23,157,1,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,23847650796890159,1123,,23847609871540159,,Julho,717,49,301,1109,13,13,,23847508352700159,826,13,GIF_POST_ANGELONI,2,2,703,78,1123,98,717,AUCTION,0,,171,17459,517,,BRL,,1,703,46,1.045077,1,0,,49,2021-07-24,717,416469385903466,2021-07-24,46,,96,49,717,32.67,PARATI BR,AUCTION,LEARN_MORE,VIDEO,,2021-08-01 02:59:50,2021-06-15 03:00:50,https://ktbo.datatap.adverity.com/i/8/44b0c0b6b4.png,https://www.angeloni.com.br/super/busca?Nrpp=12&Ntt=parati&utm_source=Facebook&utm_medium=Page+Post&utm_id=Promo+Parati,,,,,,,,,,,,,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO,2021,BRA,Kelloggs,Parati,Seasonal,PromoMomentosDeSabor,Facebook,Instagram,Awareness,CPM_EveningWe,,826,826,https://ktbo.datatap.adverity.com/i/8/44b0c0b6b4.png,7,CPM,BR,5.7,20.96,32.67,5.731578947368421,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,parati,Facebook Ads Insights,Parati,14,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,2021-07-24,7,KTBO,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,7,23847508352700159-7,5007533,BR,,,,,,KTBO,2021,BRA,KELLOGGS,PARATI,SEASONAL,PROMOMOMENTOSDESABOR,FACEBOOK,INSTAGRAM,AWARENESS,CPM,EVENINGWE,Facebook Ads Insights,3,ktboClient
121,9146,BRAND_AWARENESS,18,13,38,,BR,2,54,,8,78,2,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,23847650796900159,482,,23847609871540159,,Julho,168,13,129,474,6,6,,23847508352700159,362,6,GIF_POST_SUPERRISSUL,2,2,160,18,482,54,168,AUCTION,0,,38,9012,121,,BRL,,2,160,13,1.014869,1,0,,13,2021-07-24,168,416469385903466,2021-07-24,13,,52,13,168,14.66,PARATI BR,AUCTION,LEARN_MORE,VIDEO,,2021-08-01 02:59:50,2021-06-15 03:00:50,https://ktbo.datatap.adverity.com/i/8/66eceb29b1.png,https://supperrissul.com.br/delivery?utm_source=Facebook&utm_medium=Page+Post&utm_id=Promo+Parati,,,,,,,,,,,,,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO,2021,BRA,Kelloggs,Parati,Seasonal,PromoMomentosDeSabor,Facebook,Instagram,Awareness,CPM_EveningWe,,362,362,https://ktbo.datatap.adverity.com/i/8/66eceb29b1.png,7,CPM,BR,5.7,20.96,14.66,2.5719298245614035,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,parati,Facebook Ads Insights,Parati,8,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,2021-07-24,7,KTBO,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,7,23847508352700159-7,5007533,BR,,,,,,KTBO,2021,BRA,KELLOGGS,PARATI,SEASONAL,PROMOMOMENTOSDESABOR,FACEBOOK,INSTAGRAM,AWARENESS,CPM,EVENINGWE,Facebook Ads Insights,3,ktboClient
2992,154680,BRAND_AWARENESS,528,356,1045,,BR,14,824,,213,1150,14,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,23847774315540159,7385,,23847774315570159,,Julho — RIO GRANDE DO SUL,4273,356,2083,7217,153,153,1,23847508352700159,5438,153,GIF_POST_SUPERRISSUL,2,2,4105,528,7385,824,4273,AUCTION,0,,1045,131647,2992,,BRL,,14,4105,346,1.17496,1,0,1,356,2021-07-24,4273,416469385903466,2021-07-24,346,1,806,356,4273,246.09,PARATI BR,AUCTION,LEARN_MORE,VIDEO,,2021-08-01 02:59:50,2021-06-15 03:00:50,https://ktbo.datatap.adverity.com/i/8/d750819a19.png,https://supperrissul.com.br/delivery?utm_source=Facebook&utm_medium=Page+Post&utm_id=Promo+Parati,,,,,,,,,,,,,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO,2021,BRA,Kelloggs,Parati,Seasonal,PromoMomentosDeSabor,Facebook,Instagram,Awareness,CPM_EveningWe,,5438,5438,https://ktbo.datatap.adverity.com/i/8/d750819a19.png,7,CPM,BR,5.7,20.96,246.09,43.17368421052632,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,parati,Facebook Ads Insights,Parati,167,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,2021-07-24,7,KTBO,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,7,23847508352700159-7,5007533,BR,,,,,,KTBO,2021,BRA,KELLOGGS,PARATI,SEASONAL,PROMOMOMENTOSDESABOR,FACEBOOK,INSTAGRAM,AWARENESS,CPM,EVENINGWE,Facebook Ads Insights,3,ktboClient
2983,158556,BRAND_AWARENESS,509,341,1000,,BR,13,926,,225,1272,13,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,23847774315580159,7620,,23847774315530159,,Julho — SANTA CATARINA,4282,341,2220,7467,140,140,,23847508352700159,5615,140,GIF_POST_ANGELONI,2,2,4129,509,7620,926,4282,AUCTION,0,,1000,139167,2983,,BRL,,13,4129,326,1.139322,1,0,,341,2021-07-24,4282,416469385903466,2021-07-24,326,,906,341,4282,242.12,PARATI BR,AUCTION,LEARN_MORE,VIDEO,,2021-08-01 02:59:50,2021-06-15 03:00:50,https://ktbo.datatap.adverity.com/i/8/d3e5d388dd.png,https://www.angeloni.com.br/super/busca?Nrpp=12&Ntt=parati&utm_source=Facebook&utm_medium=Page+Post&utm_id=Promo+Parati,,,,,,,,,,,,,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO,2021,BRA,Kelloggs,Parati,Seasonal,PromoMomentosDeSabor,Facebook,Instagram,Awareness,CPM_EveningWe,,5615,5615,https://ktbo.datatap.adverity.com/i/8/d3e5d388dd.png,7,CPM,BR,5.7,20.96,242.12,42.47719298245614,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,parati,Facebook Ads Insights,Parati,153,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,2021-07-24,7,KTBO,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,7,23847508352700159-7,5007533,BR,,,,,,KTBO,2021,BRA,KELLOGGS,PARATI,SEASONAL,PROMOMOMENTOSDESABOR,FACEBOOK,INSTAGRAM,AWARENESS,CPM,EVENINGWE,Facebook Ads Insights,3,ktboClient
3194,152470,BRAND_AWARENESS,517,345,1033,,BR,9,826,2,213,1169,9,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,23847774315700159,7414,,23847774315500159,2,Julho — PARANÁ,4378,345,2088,7263,140,140,,23847508352700159,5571,140,GIF_POST_MUFFATO,2,2,4227,517,7414,826,4378,AUCTION,0,,1033,131521,3194,,BRL,,9,4227,331,1.159283,1,2,,345,2021-07-24,4378,416469385903466,2021-07-24,331,,811,345,4378,248.54,PARATI BR,AUCTION,LEARN_MORE,VIDEO,,2021-08-01 02:59:50,2021-06-15 03:00:50,https://ktbo.datatap.adverity.com/i/8/fec272efa1.png,https://delivery.supermuffato.com.br/mercearia-e-alimentos/parati?utm_source=Facebook&utm_medium=Page+Post&utm_id=Promo+Parati,,,,,,,,,,,,,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO,2021,BRA,Kelloggs,Parati,Seasonal,PromoMomentosDeSabor,Facebook,Instagram,Awareness,CPM_EveningWe,,5571,5571,https://ktbo.datatap.adverity.com/i/8/fec272efa1.png,7,CPM,BR,5.7,20.96,248.54,43.603508771929825,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,parati,Facebook Ads Insights,Parati,151,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,2021-07-24,7,KTBO,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,7,23847508352700159-7,5007533,BR,,,,,,KTBO,2021,BRA,KELLOGGS,PARATI,SEASONAL,PROMOMOMENTOSDESABOR,FACEBOOK,INSTAGRAM,AWARENESS,CPM,EVENINGWE,Facebook Ads Insights,3,ktboClient
13,5098,BRAND_AWARENESS,2,2,4,,BR,1,34,,4,46,1,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,23847609871510159,352,,23847609871540159,,Julho,21,2,88,350,1,1,,23847508352700159,239,1,GIF_POST_MOMENTOS_DE_SABOR_IG,2,2,19,2,352,34,21,AUCTION,0,,4,5014,13,,BRL,,1,19,2,1.016753,1,0,,2,2021-07-25,21,416469385903466,2021-07-25,2,,34,2,21,10.67,PARATI BR,AUCTION,LEARN_MORE,VIDEO,,2021-08-01 02:59:50,2021-06-15 03:00:50,https://ktbo.datatap.adverity.com/i/8/cc97fa2d2b.png,https://promoparati.com.br/,,,,,,,,,,,,,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,KTBO,2021,BRA,Kelloggs,Parati,Seasonal,PromoMomentosDeSabor,Facebook,Instagram,Awareness,CPM_EveningWe,,239,239,https://ktbo.datatap.adverity.com/i/8/cc97fa2d2b.png,7,CPM,BR,5.7,20.96,10.67,1.8719298245614033,KTBO_2021_BRA_Kelloggs_Parati_Seasonal_PromoMomentosDeSabor_Facebook_Instagram_Awareness_CPM_EveningWe,parati,Facebook Ads Insights,Parati,2,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,2021-07-25,7,KTBO,KTBO_2021_BRA_KELLOGGS_PARATI_SEASONAL_PROMOMOMENTOSDESABOR_FACEBOOK_INSTAGRAM_AWARENESS_CPM_EVENINGWE,7,23847508352700159-7,5007533,BR,,,,,,KTBO,2021,BRA,KELLOGGS,PARATI,SEASONAL,PROMOMOMENTOSDESABOR,FACEBOOK,INSTAGRAM,AWARENESS,CPM,EVENINGWE,Facebook Ads Insights,3,ktboClient
