CTR,Placement Type,Package Name,Impressions (Net),Placement End Date,Advertiser Name,Clicks (Net),Placement ID,Total Media Cost,Campaign ID,Site Name,Campaign Start Date,Ad Duration,Video Fully Played,Placement Start Date,Average Video Percentage Complete (%),Ad Name,Video Played 25%,Impressions (Gross),Campaign Type,Advertiser ID,Section Name,Video Played 75%,Brand Name,Click Through (URL),Video Played 50%,Ad Format Name,Campaign End Date,Cost per Unit,Placement Name,Video Started,Cost Model,Video Average Duration (Sec),Day,Campaign Name,Date,Country_code,Campaign Label,Agency,Year,Market,Client,Brand_portfolio,Temporality,Initiative,Adserver,Consumption occasions,Platform,New Ad Format,unified_brand,Platform Cost,New Buying Type,Temp Campaign Name,date_copy,date_month,mplan_agency,Brand,cost_eval,Eval_scale,firstEval_scale,secondEval_scale,Agency_nc,Year_nc,Country_nc,Client_nc,Brand_nc,Temporality_nc,Initiative_nc,Platform_nc,ConsumptionOcassion_nc,CostType-Complement_nc,Campaign Name_snc_passed,Campaign Name_snc_failed,Campaign Name_snc_status,datasource_mediaplan,adverity_client_id,adverity_client_name
0.00%,In-Stream Video,,0,11/30/2020 12:00:00 AM,MCMMIA_Pringles,0,1075948373,0.0,1074084327,Xaxis LATAM,11/5/2020 12:00:00 AM,10,0,11/5/2020 12:00:00 AM,0.00%,Video_0x0_Always On_OCT_ARG_Banner2,0,0,Display,65663,RON,0,MCMMIA_Pringles,https://www.facebook.com/PringlesLA/,0,In-Stream Video,11/30/2020 12:00:00 AM,6.5,Xaxis - Video_RON_Video_0x0_CPM_Several_Impressions_Video_Always On_VT_ARG_NOV_L12,0,CPM,0.00,5/17/2021 12:00:00 AM,MCMMIA_2020_ARG_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-17,AR,MCMMIA_2020_ARG_Kelloggs_Pringles_Seasonal_Always On_Sizmek_Evening Me_CPM-Xaxis - Video_NOV_L12,MCMMIA,2020,ARG,Kelloggs,Pringles,Seasonal,Always On,Sizmek,Evening Me,CPM-Xaxis - Video,,pringles,0.0,CPM,MCMMIA_2020_ARG_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-17,5,Mediacom,Pringles,,,,,MCMMIA,2020,ARG,KELLOGGS,PRINGLES,SEASONAL,ALWAYSON,SIZMEK,EVENINGME,CPM-XAXIS-VIDEO,"Agency_nc,Year_nc,Country_nc,Client_nc,Brand_nc,Temporality_nc,Initiative_nc,Platform_nc,ConsumptionOcassion_nc,CostType-Complement_nc",,passed,Sizmek Sas,3,ktboClient
0.00%,In-Stream Video,,0,10/31/2020 12:00:00 AM,MCMMIA_Pringles,0,1075860576,0.0,1074069527,Xaxis LATAM,10/13/2020 12:00:00 AM,10,0,10/13/2020 12:00:00 AM,0.00%,Video_0x0_Always On_OCT_COL_Banner,0,0,Display,65663,RON,0,MCMMIA_Pringles,https://www.facebook.com/PringlesLA/,0,In-Stream Video,10/31/2020 12:00:00 AM,6.5,Xaxis - Video_RON_Video_0x0_CPM_Several_Impressions_Video_Always On_VT_COL_OCT_L15,0,CPM,0.00,5/14/2021 12:00:00 AM,MCMMIA_2020_COL_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-14,CO,MCMMIA_2020_COL_Kelloggs_Pringles_Seasonal_Always On_Sizmek_Evening Me_CPM-Xaxis - Video_OCT_L15,MCMMIA,2020,COL,Kelloggs,Pringles,Seasonal,Always On,Sizmek,Evening Me,CPM-Xaxis - Video,,pringles,0.0,CPM,MCMMIA_2020_COL_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-14,5,Mediacom,Pringles,,,,,MCMMIA,2020,COL,KELLOGGS,PRINGLES,SEASONAL,ALWAYSON,SIZMEK,EVENINGME,CPM-XAXIS-VIDEO,"Agency_nc,Year_nc,Country_nc,Client_nc,Brand_nc,Temporality_nc,Initiative_nc,Platform_nc,ConsumptionOcassion_nc,CostType-Complement_nc",,passed,Sizmek Sas,3,ktboClient
0.00%,In-Stream Video,,0,11/30/2020 12:00:00 AM,MCMMIA_Pringles,0,1075949153,0.0,1074084403,Xaxis LATAM,11/5/2020 12:00:00 AM,15,0,11/5/2020 12:00:00 AM,0.00%,Video_0x0_Always On_NOV_CRI_Banner1,0,0,Display,65663,RON,0,MCMMIA_Pringles,https://www.facebook.com/PringlesLA/,0,In-Stream Video,11/30/2020 12:00:00 AM,6.5,Xaxis - Video_RON_Video_0x0_CPM_Several_Impressions_Video_Always On_VT_CRI_NOV_L20,0,CPM,0.00,5/3/2021 12:00:00 AM,MCMMIA_2020_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-03,CR,MCMMIA_2020_CRI_Kelloggs_Pringles_Seasonal_Always On_Sizmek_Evening Me_CPM-Xaxis - Video_NOV_L20,MCMMIA,2020,CRI,Kelloggs,Pringles,Seasonal,Always On,Sizmek,Evening Me,CPM-Xaxis - Video,,pringles,0.0,CPM,MCMMIA_2020_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-03,5,Mediacom,Pringles,,,,,MCMMIA,2020,CRI,KELLOGGS,PRINGLES,SEASONAL,ALWAYSON,SIZMEK,EVENINGME,CPM-XAXIS-VIDEO,"Agency_nc,Year_nc,Country_nc,Client_nc,Brand_nc,Temporality_nc,Initiative_nc,Platform_nc,ConsumptionOcassion_nc,CostType-Complement_nc",,passed,Sizmek Sas,3,ktboClient
0.00%,In-Stream Video,,0,11/30/2020 12:00:00 AM,MCMMIA_Pringles,0,1075949153,0.0,1074084403,Xaxis LATAM,11/5/2020 12:00:00 AM,15,0,11/5/2020 12:00:00 AM,0.00%,Video_0x0_Always On_NOV_CRI_Banner1,0,0,Display,65663,RON,0,MCMMIA_Pringles,https://www.facebook.com/PringlesLA/,0,In-Stream Video,11/30/2020 12:00:00 AM,6.5,Xaxis - Video_RON_Video_0x0_CPM_Several_Impressions_Video_Always On_VT_CRI_NOV_L20,0,CPM,0.00,5/7/2021 12:00:00 AM,MCMMIA_2020_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-07,CR,MCMMIA_2020_CRI_Kelloggs_Pringles_Seasonal_Always On_Sizmek_Evening Me_CPM-Xaxis - Video_NOV_L20,MCMMIA,2020,CRI,Kelloggs,Pringles,Seasonal,Always On,Sizmek,Evening Me,CPM-Xaxis - Video,,pringles,0.0,CPM,MCMMIA_2020_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-07,5,Mediacom,Pringles,,,,,MCMMIA,2020,CRI,KELLOGGS,PRINGLES,SEASONAL,ALWAYSON,SIZMEK,EVENINGME,CPM-XAXIS-VIDEO,"Agency_nc,Year_nc,Country_nc,Client_nc,Brand_nc,Temporality_nc,Initiative_nc,Platform_nc,ConsumptionOcassion_nc,CostType-Complement_nc",,passed,Sizmek Sas,3,ktboClient
0.00%,In-Stream Video,,0,11/30/2020 12:00:00 AM,MCMMIA_Pringles,0,1075949153,0.0,1074084403,Xaxis LATAM,11/5/2020 12:00:00 AM,15,0,11/5/2020 12:00:00 AM,0.00%,Video_0x0_Always On_NOV_CRI_Banner1,0,0,Display,65663,RON,0,MCMMIA_Pringles,https://www.facebook.com/PringlesLA/,0,In-Stream Video,11/30/2020 12:00:00 AM,6.5,Xaxis - Video_RON_Video_0x0_CPM_Several_Impressions_Video_Always On_VT_CRI_NOV_L20,0,CPM,0.00,5/10/2021 12:00:00 AM,MCMMIA_2020_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-10,CR,MCMMIA_2020_CRI_Kelloggs_Pringles_Seasonal_Always On_Sizmek_Evening Me_CPM-Xaxis - Video_NOV_L20,MCMMIA,2020,CRI,Kelloggs,Pringles,Seasonal,Always On,Sizmek,Evening Me,CPM-Xaxis - Video,,pringles,0.0,CPM,MCMMIA_2020_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-10,5,Mediacom,Pringles,,,,,MCMMIA,2020,CRI,KELLOGGS,PRINGLES,SEASONAL,ALWAYSON,SIZMEK,EVENINGME,CPM-XAXIS-VIDEO,"Agency_nc,Year_nc,Country_nc,Client_nc,Brand_nc,Temporality_nc,Initiative_nc,Platform_nc,ConsumptionOcassion_nc,CostType-Complement_nc",,passed,Sizmek Sas,3,ktboClient
0.00%,In-Stream Video,,0,10/31/2020 12:00:00 AM,MCMMIA_Pringles,0,1075861343,0.0,1074069621,Xaxis LATAM,10/13/2020 12:00:00 AM,10,0,10/13/2020 12:00:00 AM,0.00%,Video_0x0_Always On_OCT_CRI_Banner,0,0,Display,65663,RON,0,MCMMIA_Pringles,https://www.facebook.com/PringlesLA/,0,In-Stream Video,10/31/2020 12:00:00 AM,6.5,Xaxis - Video_RON_Video_0x0_CPM_Several_Impressions_Video_Always On_VT_CRI_OCT_L19,0,CPM,0.00,5/19/2021 12:00:00 AM,MCMMIA_2020_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-19,CR,MCMMIA_2020_CRI_Kelloggs_Pringles_Seasonal_Always On_Sizmek_Evening Me_CPM-Xaxis - Video_OCT_L19,MCMMIA,2020,CRI,Kelloggs,Pringles,Seasonal,Always On,Sizmek,Evening Me,CPM-Xaxis - Video,,pringles,0.0,CPM,MCMMIA_2020_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-19,5,Mediacom,Pringles,,,,,MCMMIA,2020,CRI,KELLOGGS,PRINGLES,SEASONAL,ALWAYSON,SIZMEK,EVENINGME,CPM-XAXIS-VIDEO,"Agency_nc,Year_nc,Country_nc,Client_nc,Brand_nc,Temporality_nc,Initiative_nc,Platform_nc,ConsumptionOcassion_nc,CostType-Complement_nc",,passed,Sizmek Sas,3,ktboClient
0.00%,In-Stream Video,,0,10/31/2020 12:00:00 AM,MCMMIA_Pringles,0,1075861343,0.0,1074069621,Xaxis LATAM,10/13/2020 12:00:00 AM,10,0,10/13/2020 12:00:00 AM,0.00%,Video_0x0_Always On_OCT_CRI_Banner,0,0,Display,65663,RON,0,MCMMIA_Pringles,https://www.facebook.com/PringlesLA/,0,In-Stream Video,10/31/2020 12:00:00 AM,6.5,Xaxis - Video_RON_Video_0x0_CPM_Several_Impressions_Video_Always On_VT_CRI_OCT_L19,0,CPM,0.00,5/22/2021 12:00:00 AM,MCMMIA_2020_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-22,CR,MCMMIA_2020_CRI_Kelloggs_Pringles_Seasonal_Always On_Sizmek_Evening Me_CPM-Xaxis - Video_OCT_L19,MCMMIA,2020,CRI,Kelloggs,Pringles,Seasonal,Always On,Sizmek,Evening Me,CPM-Xaxis - Video,,pringles,0.0,CPM,MCMMIA_2020_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-22,5,Mediacom,Pringles,,,,,MCMMIA,2020,CRI,KELLOGGS,PRINGLES,SEASONAL,ALWAYSON,SIZMEK,EVENINGME,CPM-XAXIS-VIDEO,"Agency_nc,Year_nc,Country_nc,Client_nc,Brand_nc,Temporality_nc,Initiative_nc,Platform_nc,ConsumptionOcassion_nc,CostType-Complement_nc",,passed,Sizmek Sas,3,ktboClient
0.00%,In-Stream Video,,0,9/30/2020 12:00:00 AM,MCMMIA_Pringles,0,1075763811,0.0,1074043288,Xaxis LATAM,9/14/2020 12:00:00 AM,10,0,9/14/2020 12:00:00 AM,0.00%,Video_0x0_Always On_Xaxis - Video_TG - Wavy_SEP_L7,0,0,Display,65663,0,0,Pringles,https://www.facebook.com/PringlesLA/,0,In-Stream Video,9/30/2020 12:00:00 AM,6.5,Xaxis - Video_RON_Video_0x0_CPM_Several_Impressions_Video_Xaxis - Video_TG_SEP_L7,0,CPM,0.00,5/10/2021 12:00:00 AM,MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-10,DO,MCMMIA_2020_DOM_Kelloggs_Pringles_Seasonal_Always On_Sizmek_Evening Me_CPM-Xaxis - Video_SEP_L17,MCMMIA,2020,DOM,Kelloggs,Pringles,Seasonal,Always On,Sizmek,Evening Me,CPM-Xaxis - Video,,pringles,0.0,CPM,MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-10,5,Mediacom,Pringles,,,,,MCMMIA,2020,DOM,KELLOGGS,PRINGLES,SEASONAL,ALWAYSON,SIZMEK,EVENINGME,CPM-XAXIS-VIDEO,"Agency_nc,Year_nc,Country_nc,Client_nc,Brand_nc,Temporality_nc,Initiative_nc,Platform_nc,ConsumptionOcassion_nc,CostType-Complement_nc",,passed,Sizmek Sas,3,ktboClient
0.00%,In-Stream Video,,0,11/30/2020 12:00:00 AM,MCMMIA_Pringles,0,1075949177,0.0,1074084406,Xaxis LATAM,11/5/2020 12:00:00 AM,10,0,11/5/2020 12:00:00 AM,0.00%,Video_0x0_Always On_NOV_DOM_Banner2,0,0,Display,65663,RON,0,MCMMIA_Pringles,https://www.facebook.com/PringlesLA/,0,In-Stream Video,11/30/2020 12:00:00 AM,6.5,Xaxis - Video_RON_Video_0x0_CPM_Several_Impressions_Video_Always On_VT_DOM_NOV_L21,0,CPM,0.00,5/20/2021 12:00:00 AM,MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-20,DO,MCMMIA_2020_DOM_Kelloggs_Pringles_Seasonal_Always On_Sizmek_Evening Me_CPM-Xaxis - Video_NOV_L21,MCMMIA,2020,DOM,Kelloggs,Pringles,Seasonal,Always On,Sizmek,Evening Me,CPM-Xaxis - Video,,pringles,0.0,CPM,MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-20,5,Mediacom,Pringles,,,,,MCMMIA,2020,DOM,KELLOGGS,PRINGLES,SEASONAL,ALWAYSON,SIZMEK,EVENINGME,CPM-XAXIS-VIDEO,"Agency_nc,Year_nc,Country_nc,Client_nc,Brand_nc,Temporality_nc,Initiative_nc,Platform_nc,ConsumptionOcassion_nc,CostType-Complement_nc",,passed,Sizmek Sas,3,ktboClient
0.00%,In-Stream Video,,0,11/30/2020 12:00:00 AM,MCMMIA_Pringles,0,1075948725,0.0,1074084360,Xaxis LATAM,11/5/2020 12:00:00 AM,6,0,11/5/2020 12:00:00 AM,0.00%,Video_0x0_Always On_NOV_MEX_Banner1,0,0,Display,65663,RON,0,MCMMIA_Pringles,https://www.facebook.com/PringlesLA/,0,In-Stream Video,11/30/2020 12:00:00 AM,6.5,Xaxis - Video_RON_Video_0x0_CPM_Several_Impressions_Video_Always On_VT_MEX_NOV_L14,0,CPM,0.00,5/1/2021 12:00:00 AM,MCMMIA_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-01,MX,MCMMIA_2020_MEX_Kelloggs_Pringles_Seasonal_Always On_Sizmek_Evening Me_CPM-Xaxis - Video_NOV_L13,MCMMIA,2020,MEX,Kelloggs,Pringles,Seasonal,Always On,Sizmek,Evening Me,CPM-Xaxis - Video,,pringles,0.0,CPM,MCMMIA_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPM-XAXIS-VIDEO,2021-05-01,5,Mediacom,Pringles,,,,,MCMMIA,2020,MEX,KELLOGGS,PRINGLES,SEASONAL,ALWAYSON,SIZMEK,EVENINGME,CPM-XAXIS-VIDEO,"Agency_nc,Year_nc,Country_nc,Client_nc,Brand_nc,Temporality_nc,Initiative_nc,Platform_nc,ConsumptionOcassion_nc,CostType-Complement_nc",,passed,Sizmek Sas,3,ktboClient
