"Datasource","Daily2","Region","Cost.Type","MaxDate","MinDate","Campaign.Name","Campaign.Label","Platform","Initiative","Brand","Platform.Cost","Impressions","Clicks","Engagements","Video.Views","Video.Completions","Daily","Month","Quarter","Year","Country","Cost.KPI","Unit.KPI","Unit.Cost","Central.Goal","Central.Cost","Central.Impressions","Central.Clicks","Central.Video.Views","Central.Video.Completions","Central.Engagements","Eval1","Eval2","Eval3","Eval4","Eval5","Eval6","EvalTotal","second.Eval","first.Eval","lEvalTotal","lsecondEval","lfirstEval","Eval_scale","firstEval_scale","secondEval_scale"
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_NIC_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_NIC_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L24","Pringles","Always On","Facebook and Instagram",12.43,53282,210,1339,1326,391,2021-07-21,"2021-07",3,"2021","NIC","Impressions",53282,0.233287038774821,12233,0.501996007984032,12233,14,229,56,267,-0.464718912231353,4.3555955203139,15,5.01498127340824,6.98214285714286,5.79039301310044,5.44858760297509,1.55771099489254,4.3555955203139,1.69535641967117,0.443217432740185,1.47146134500038,5.35658695784543,4.29585253887755,0.662339516590335
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_NIC_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_NIC_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L24","Pringles","Always On","Facebook and Instagram",8.4,36696,240,2926,2905,1938,2021-07-21,"2021-07",3,"2021","NIC","Impressions",36696,0.228907782864617,12233,0.501996007984032,12233,14,229,56,267,-0.455995225507647,2.99975476171013,17.1428571428571,10.9588014981273,34.6071428571429,12.6855895196507,4.40350896727858,1.8597494310761,2.99975476171013,1.4824017156593,0.620441764175083,1.09853053923009,4.58594647911323,2.5674284546185,0.731881487819596
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_NIC_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_NIC_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L24","Pringles","Always On","Facebook and Instagram",15.39,67116,176,3118,3078,769,2021-07-21,"2021-07",3,"2021","NIC","Impressions",67116,0.229304487752548,12233,0.501996007984032,12233,14,229,56,267,-0.45678548057267,5.48647102100875,12.5714285714286,11.6779026217228,13.7321428571429,13.4410480349345,6.4186836714568,1.38899813102072,5.48647102100875,1.85921306108057,0.328582718213866,1.70228524756267,5.94203838251955,5.46641896378487,0.613981632580117
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_NIC_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_NIC_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L24","Pringles","Always On","Facebook and Instagram",33.48,141919,565,7544,7528,4206,2021-07-21,"2021-07",3,"2021","NIC","Impressions",141919,0.235909215820292,12233,0.501996007984032,12233,14,229,56,267,-0.469942414019746,11.6013242867653,40.3571428571429,28.2546816479401,75.1071428571429,32.8733624454148,15.5280374540409,4.39665558129537,11.6013242867653,2.74264725789632,1.48084415674528,2.45111925424844,8.51063464428082,8.58354244700489,0.943836744289783
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_HND_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_HND_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L23","Pringles","Always On","Facebook and Instagram",13.4,41907,142,1529,1521,475,2021-07-21,"2021-07",3,"2021","HND","Impressions",41907,0.319755649414179,12233,0.501996007984032,12233,14,229,56,267,-0.636968510363832,3.4257336712172,10.1428571428571,5.72659176029963,8.48214285714286,6.64192139737991,3.86946312773896,1.08069796688559,3.4257336712172,1.35311577073581,0.0776070980312292,1.23131565934874,4.12376489904887,3.14214326853705,0.502780035843347
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_HND_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_HND_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L23","Pringles","Always On","Facebook and Instagram",6.89,23028,85,2428,2404,1513,2021-07-21,"2021-07",3,"2021","HND","Impressions",23028,0.299200972728852,12233,0.501996007984032,12233,14,229,56,267,-0.596022613666619,1.88244911305485,6.07142857142857,9.0936329588015,27.0178571428571,10.4978165938865,2.01257332492135,0.726146825533118,1.88244911305485,0.699414164390381,-0.320003045578563,0.632573648748784,2.07436474615946,1.05989333870036,0.32961748679563
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_HND_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_HND_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L23","Pringles","Always On","Facebook and Instagram",29.72,97159,149,5567,5520,1136,2021-07-21,"2021-07",3,"2021","HND","Impressions",97159,0.30589034469272,12233,0.501996007984032,12233,14,229,56,267,-0.609348161793451,7.94236900188016,10.6428571428571,20.8501872659176,20.2857142857143,24.1048034934498,8.62850462166666,1.29548378157995,7.94236900188016,2.15507121333341,0.258884201898784,2.07221159371487,6.93982414106648,7.22182181789255,0.583630916715846
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_HND_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_HND_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L23","Pringles","Always On","Facebook and Instagram",42.66,134332,409,9032,9022,4562,2021-07-21,"2021-07",3,"2021","HND","Impressions",134332,0.317571390286752,12233,0.501996007984032,12233,14,229,56,267,-0.632617361962874,10.9811166516799,29.2142857142857,33.8277153558052,81.4642857142857,39.3973799126638,13.6936090384092,3.34510974869218,10.9811166516799,2.61692923044534,1.20749950281541,2.39617712960622,8.22981122569887,8.42028375256139,0.899706104633814
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_DOM_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L21","Pringles","Always On","Facebook and Instagram",14.81,53027,96,3992,3981,2024,2021-07-21,"2021-07",3,"2021","DOM","Impressions",53027,0.279291681596168,12233,0.501996007984032,12233,14,229,56,267,-0.556362355784016,4.33475026567481,6.85714285714286,14.9513108614232,36.1428571428571,17.3842794759825,4.65149658930977,0.873108679418973,4.33475026567481,1.53718901498097,-0.135695241292814,1.46666399973218,4.78388486324456,4.27181967467878,0.4077514893969
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_DOM_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L21","Pringles","Always On","Facebook and Instagram",21.35,77917,84,4647,4596,971,2021-07-21,"2021-07",3,"2021","DOM","Impressions",77917,0.274009522953913,12233,0.501996007984032,12233,14,229,56,267,-0.545840043737217,6.36941061064334,6,17.4044943820225,17.3392857142857,20.0698689956332,6.6169617833402,0.793391216434074,6.36941061064334,1.8896363194866,-0.231438841754626,1.85150693950162,6.04885402108262,6.20822004536328,0.366478281001612
