"Campaign Name","Mediaplan","Mediaplan Placement","Current value","Campaign Mp Label"
"MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS","2021_ktbo_kube_Adverity_Mediaplan_Abril-Mexico","Xaxis - Standard Banners-MX","","MCMMX_2021_MEX_Kelloggs_Choco Krispis_Seasonal_A lo grande_Sizmek_Family Breakfast_CPM-Xaxis - Standard Banners"
"MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPCV-XAXISPRE-ROLL","2021_ktbo_kube_Adverity_Mediaplan_Abril-Mexico","Xaxis Pre-Roll-MX","","MCMMX_2021_MEX_Kelloggs_Choco Krispis_Seasonal_A lo grande_Sizmek_Family Breakfast_CPCV-Xaxis Pre-Roll"
"MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_GOOGLE_GOOGLE-RESERVA_ALOGRANDE_AFFINITYAUDIENCES_CPV","2021_ktbo_kube_Adverity_Mediaplan_Abril-Mexico","Google - Reserva-MX","","MCMMX_2021_MEX_Kelloggs_Choco Krispis_Seasonal_Google_Google - Reserva_A lo grande_Affinity Audiences_CPV_Family Breakfast"
"MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_M&MS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","2021_ktbo_kube_Adverity_Mediaplan_Abril-Mexico","Facebook and Instagram-MX","","MCMMX_2021_MEX_Kelloggs_Choco Krispis_Seasonal_M&Ms_Facebook_Facebook and Instagram_Reach_CPM_Family Breakfast"
"MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_CORNERSHOP_BREAKFASTFORONE_FIXED-CORNERSHOP","2021_ktbo_kube_Adverity_Mediaplan_Abril-Mexico","Cornershop-MX","","MCMMX_2021_MEX_Kelloggs_Extra_Seasonal_Extra_Cornershop_Breakfast for One_Fixed-Cornershop"
"MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_GOOGLE_GOOGLE-RESERVA_ALOGRANDE_AFFINITYAUDIENCES_CPM","2021_ktbo_kube_Adverity_Mediaplan_Abril-Mexico","Google - Reserva-MX","","MCMMX_2021_MEX_Kelloggs_Choco Krispis_Seasonal_Google_Google - Reserva_A lo grande_Affinity Audiences_CPM_Family Breakfast"
"MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_NUEVOAÑO_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","2021_ktbo_kube_Adverity_Mediaplan_Abril-Mexico","Facebook-MX","","MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_Nuevo Año_Facebook_Facebook_Reach_CPM_Family Breakfast"
"MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_CEREALRELEVANCE_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","2021_ktbo_kube_Adverity_Mediaplan_Abril-Mexico","Facebook-MX","","MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_Cereal Relevance_Facebook_Facebook_Reach_CPM_Family Breakfast"
"MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_CIMMYT_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","2021_ktbo_kube_Adverity_Mediaplan_Abril-Mexico","Facebook-MX","","MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_CIMMYT_Facebook_Facebook_Reach_CPM_Family Breakfast"
"MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_KELLOGGWINNINGCULTURE_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","2021_ktbo_kube_Adverity_Mediaplan_Abril-Mexico","Facebook-MX","","MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_Kellogg Winning Culture_Facebook_Facebook_Reach_CPM_Family Breakfast"
