Start Date,End Date,Month,Brand,Region,Country,Campaign,Platform,Touchpoint,Format,Goal,Investment,Reach,Impressions,CPM,Clicks,CPC,CTR,Views,CPV,VTR,CR,Complete Views,CPCV,Engagement,Sales Price,Sales Quantity,Insertions,File,Unnamed: 28,Unnamed: 29,Unnamed: 30,Buy Type,CPM USD,CPC USD,CPV USD,Initiative
2020-04-13,2020-04-19 00:00:00,April,Pringles,Mercosur,Argentina,MCMMIA_2020_ARG_Kelloggs_Pringles_Seasonal_Movimiento Pringles_TikTok_Evening Me,TikTok,TikTok,"Post Ad
Video Ad/
Storie",Engagement,5000.0,,2200000.0,,0.0,,,0.0,,,,0.0,,601305.0,,,,files/01122021_Ktbo_kube_Adverity_OtherChannel__Noviembre.xlsx,,,,,,,,
2020-04-12,2020-04-18 00:00:00,April,Masterbrand,Andean,Colombia,MCMMIA_2020_COL_Kelloggs_Masterbrand_Seasonal_Coronavirus_Twitter_Twitter_Reach_CPM_Breakfast for One,Twitter,Twitter,Promoted Post / Video,Reach,372.0,,130861.0,2.84,1321.0,,,47897.0,,,,0.0,,0.0,,,,files/01122021_Ktbo_kube_Adverity_OtherChannel__Noviembre.xlsx,,,,,,,,
2020-04-19,2020-04-25 00:00:00,April,Masterbrand,Andean,Colombia,MCMMIA_2020_COL_Kelloggs_Masterbrand_Seasonal_Coronavirus_Twitter_Twitter_Reach_CPM_Breakfast for One,Twitter,Twitter,Promoted Post / Video,Reach,651.0,,216697.0,3.01,2203.0,,,76293.0,,,,0.0,,0.0,,,,files/01122021_Ktbo_kube_Adverity_OtherChannel__Noviembre.xlsx,,,,,,,,
2020-04-26,2020-05-02 00:00:00,April,Masterbrand,Andean,Colombia,MCMMIA_2020_COL_Kelloggs_Masterbrand_Seasonal_Coronavirus_Twitter_Twitter_Reach_CPM_Breakfast for One,Twitter,Twitter,Promoted Post / Video,Reach,375.28,,121721.0,2.95,1121.0,,,41259.0,,,,0.0,,0.0,,,,files/01122021_Ktbo_kube_Adverity_OtherChannel__Noviembre.xlsx,,,,,,,,
2020-05-31,2020-06-06 00:00:00,Juny,Corporate Promotions,Andean,Colombia,MCMCO_2020_COL_Kelloggs_Corporate Promotions_Seasonal_Rappi - Musli_Pulzo_Breakfast for One,Pulzo,Pulzo,Newsfeed,Brand Awarness,611.02,,1504003.0,,0.0,,,0.0,,,,0.0,,0.0,,,,files/01122021_Ktbo_kube_Adverity_OtherChannel__Noviembre.xlsx,,,,,,,,
2020-08-02,2020-08-08 00:00:00,August,Masterbrand,Andean,Colombia,MCMCO_2020_COL_Kelloggs_Masterbrand_Seasonal_Incansables_INCA_Breakfast for One,INCA,INCA,Influencer,Brand Awarness,1679.9999999999998,,0.0,,0.0,,,0.0,,,,0.0,,526.0,,,,files/01122021_Ktbo_kube_Adverity_OtherChannel__Noviembre.xlsx,,,,,,,,
2020-08-09,2020-08-15 00:00:00,August,Masterbrand,Andean,Colombia,MCMCO_2020_COL_Kelloggs_Masterbrand_Seasonal_Incansables_INCA_Breakfast for One,INCA,INCA,Influencer,Brand Awarness,1679.9999999999998,,0.0,,0.0,,,0.0,,,,0.0,,325.0,,,,files/01122021_Ktbo_kube_Adverity_OtherChannel__Noviembre.xlsx,,,,,,,,
2020-08-16,2020-08-22 00:00:00,August,Masterbrand,Andean,Colombia,MCMCO_2020_COL_Kelloggs_Masterbrand_Seasonal_Incansables_INCA_Breakfast for One,INCA,INCA,Influencer,Brand Awarness,1679.9999999999998,,0.0,,0.0,,,0.0,,,,0.0,,225.0,,,,files/01122021_Ktbo_kube_Adverity_OtherChannel__Noviembre.xlsx,,,,,,,,
2020-08-23,2020-08-29 00:00:00,August,Masterbrand,Andean,Colombia,MCMCO_2020_COL_Kelloggs_Masterbrand_Seasonal_Incansables_INCA_Breakfast for One,INCA,INCA,Influencer,Brand Awarness,1679.9999999999998,,0.0,,0.0,,,0.0,,,,0.0,,452.0,,,,files/01122021_Ktbo_kube_Adverity_OtherChannel__Noviembre.xlsx,,,,,,,,
2020-08-23,2020-08-29 00:00:00,August,Masterbrand,Andean,Colombia,MCMCO_2020_COL_Kelloggs_Masterbrand_Seasonal_Incansables_Canal RCN_Breakfast for One,Canal RCN,Canal RCN,Video Pre Roll,Impressions,168.0,,23333.333333333332,7.199999999999999,121.0,,,0.0,,,,0.0,,0.0,,,,files/01122021_Ktbo_kube_Adverity_OtherChannel__Noviembre.xlsx,,,,,,,,
