Index,Campaign Name 
0,MCMPR_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SPOTIFY_MID-MORNINGSNACK_CPCV-SPOTIFY
1,MCMPR_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SPOTIFY_MID-MORNINGSNACK_CPCV-SPOTIFY
2,MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SPOTIFY_MID-MORNINGSNACK_CPCV-SPOTIFY
3,MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SPOTIFY_MID-MORNINGSNACK_CPCV-SPOTIFY
4,MCMPR_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_CLAROMOBILE_FAMILYBREAKFAST_CPM-CLAROMOBILE
5,MCMPR_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_XAXISPUSHNOTIFICATIONADS_MID-MORNINGSNACK_CPM-XAXISPUSHNOTIFICATIONADS
6,MCMPR_2021_GTM_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_CLAROMOBILE_FAMILYBREAKFAST_CPM-CLAROMOBILE
7,MCMPR_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_XAXISPUSHNOTIFICATIONADS_MID-MORNINGSNACK_CPM-XAXISPUSHNOTIFICATIONADS
8,MCMPR_2021_GTM_KELLOGGS_SPECIALK_SEASONAL_ALIMENTAMOSLOQUEERES_XAXISPUSHNOTIFICATIONADS_BREAKFASTFORONE_CPM-XAXISPUSHNOTIFICATIONADS
9,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_REDCITYGDL_AZTECA_EVENINGME_FIXED-AZTECA
10,MCMPR_2021_SLV_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_CLAROMOBILE_FAMILYBREAKFAST_CPM-CLAROMOBILE
11,MCMPR_2021_CRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_CLAROMOBILE_FAMILYBREAKFAST_CPM-CLAROMOBILE
12,MCMPR_2021_CRI_KELLOGGS_SPECIALK_SEASONAL_ALIMENTAMOSLOQUEERES_XAXISPUSHNOTIFICATIONADS_BREAKFASTFORONE_CPM-XAXISPUSHNOTIFICATIONADS
13,MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_ALWAYSCLOSETOYOU_WETRANSFER_FAMILYBREAKFAST_CPM-WETRANSFER
14,MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_CORNERSHOP_BREAKFASTFORONE_FIXED-CORNERSHOP
15,MCMPR_2021_PRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_365BOWLS_AUDIO_BREAKFASTFORONE_CPM-AUDIO
16,MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_CORNERSHOP_BREAKFASTFORONE_FIXED-CORNERSHOP
17,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_MEGALATA_THINKY_EVENINGME_FIXED-THINKY
18,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_GOOGLE_GOOGLE-RESERVA_ALOGRANDE_AFFINITYAUDIENCES_CPM
19,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_KELLOGGWINNINGCULTURE_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST
20,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_WINNINGBODYANDMINE_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST
21,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_DIADELAMUJER_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST
22,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_CORNERSHOP_EVENINGME_FIXED-CORNERSHOP
23,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_GAMELOFT_EVENINGME_CPM-GAMELOFT
24,MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_KIDSCORP_BREAKFASTFORONE_CPV-KIDSCORP
25,MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_XAXIS-STANDARDBANNERS_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS
26,MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_AUDIO_BREAKFASTFORONE_CPM-AUDIO
27,MCMCO_2021_COL_KELLOGGS_HEALTHYKIDS_SEASONAL_HEALTHYKIDSGRANOLA_KIDSCORP_FAMILYBREAKFAST_CPM-KIDSCORP
28,MCMPR_2021_SLV_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-EIKON
29,MCMPR_2021_SLV_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPV-EIKON
